"ID","click"
"105-BF4F9DC5A23B96EEE597E2F81B783C33",0
"34-5c75a18e4b9c49aca29bef5c35ff4b5a",1
"34-efe345d7686c4390a0c3449299f1941b",0
"9-7852545B5D236BD51392633103347AA8",0
"34-f5e1bdc866224ea9905b1afe695b44cf",0
"34-baf9f1bf2f104167920047cf86640989",0
"34-c5709550a5be4b8cb015dbf09b204c4e",0
"10-CB4A0F431EF9917567EF5E519F944EF2",0
"9-2B32FDF05F89983EA43C131BFE66A66F",0
"34-e17546af55a64cbfa9371cb1e6bb752a",1
"140-BC7B2CE3EA41F91D2FD36FA420C810BF",0
"34-4b58e13bb1734010b4b21a9510e802ca",0
"34-558f802efbad4479b5cb3bd533ff3cc6",0
"140-B6CB0A893911FC04346C4203CBE545F6",0
"34-6361bef8007e4fbb87babcdf271c9456",0
"34-6b1c5a7c50524846bc54e8d0a27a4ad6",0
"34-1d952bd45073498dace9a14ba5032a0b",1
"34-c40110bb5f184e60af4971cd26de4868",0
"34-0d7b3c6c8521444084108fe20dce128d",1
"140-58566B8314842AB29F5A39F57C7C83BA",0
"34-cbd37595488e46ccbdf7481b9c38254a",0
"9-23E23360E7EC19058B8DDA09027E2DDD",0
"34-044da49e52e4462f9ce62f49884ebb06",1
"34-be4141327bd84a48abf5b99d798d13ea",0
"34-854493ec7fe84a229e7cc1ecc3d07328",0
"34-fb59227301b540fc8439d9433fb7e872",0
"34-ecd8cdf857954631b2f1dba9fdd96b75",0
"105-B65356B103DEFC7F4DCEE88D8DC4D185",0
"10-82A8BEFDCAB7FAE8A92EEB10AA6084C2",0
"10-F52A082A6B3DA405C3BD34805CD22708",0
"9-17D908FDF52DFEE66ED86B9341F6F1B1",0
"34-9e042c84d0fb4812b70ead073370bc38",0
"34-e499f4cbce304566991478bc7314c26e",0
"9-11861EBBA1B227FC2F8CD8CFCC3C87A1",0
"105-243481810EBD8706D62EF0E42FB19D57",0
"34-b7d671c7c425433eba0489e594aa765c",1
"34-80aad4b66ec740b092471f8b885b03f8",0
"34-1e8fcf33c7cf4a76ac1f65d08e33f85f",0
"10-BEEEED8DB1ECB8364F7EB552FB724C1C",0
"34-a28bfda1b110456e9dec62343d765dee",1
"34-91ba51a02f594b129936b292ee743670",0
"34-d9638ca4d4744362bb62e4f9e494bb2a",0
"34-7ec568417973474fba6009644e1ec727",0
"105-6EAB0C633148914DE53196BD8F424D83",0
"34-f65859cdfe6843c9b3c0fd8856b82e18",0
"9-6CC1C8D2981C38256A0CC8070F82C847",0
"34-b501f42c29514ee58a2ecee3afbff881",1
"34-e0c54d5e532e49df84b5b73d46609fb8",0
"10-E128B307A9B245FF4E6C6A94638DBA17",0
"34-57c105388cb54598a7766a31a6c36666",0
"10-56D62A5CA52EDEB70A0CA1380600B4E8",0
"140-4FD613F0459074236A71C726FF3C8026",0
"34-c0640cd1bff3476eb21a6fd75b4c1eac",0
"34-c379b9c022f24a28a125a0008b952a32",1
"140-2D3074E8F95CA49B6671D4D6BCAE0C13",0
"34-ddfe27176c5b459e8beafe3edeba1b90",0
"140-193B27721CCAABAA1D84BC762651E07E",0
"10-AE3F54D025BFF6A4B659230188A3BFB5",0
"10-B0DCFCF85CDC733B076EE17BCE67D8A8",0
"34-2a7fb732e0ad4f8aa630cece2eecae13",0
"9-CFF9A5E70245CD9D3CDAC60CC5741063",0
"10-515D761A3490350D2AAA7DA8916472ED",0
"34-e67677a0c3434dae83f0f26a19082470",0
"34-534174a682ed4bb1b801cf4dc25e0751",1
"34-7d68c797b62b4187b5f4dd8c1250fbf1",0
"9-58E930D8D6754F60315565C93C0463E9",0
"34-cc62dc51adc94d45b33d1700ec683e40",0
"10-C97D1CBA4C3E762FAA259E2B6395D928",0
"34-219ecbb1677247ad8eb28b5b500b61ed",0
"34-1706c1a422d34606881c537ceebf0204",0
"9-D5C085492716C1BAE46A08553AAAF843",0
"140-130C1E920A234776E53422354BBAFE55",0
"9-4DB06CAAD9A4471CC482A506542E37CC",0
"34-64e445a6280d4e0abe6a0eb171cf104f",0
"34-b808e646bc4049ac907bf2df19afbf19",0
"34-2a412a91db184a87b12d9044f69bc56a",1
"140-427921EF39A1B9C09BD0710076EAFE98",0
"9-0BF89AB31D8218A6C338F537BECE4BEE",0
"140-210377A2F8DBA5307C882C2BE0FE905D",0
"34-1c8867aaeb1644409659b673387f2380",1
"9-4CA9B7276A96E2E887BDC35B8975098C",0
"34-2f9b2c288edd485fa6f203291d7bbfe9",0
"9-FBDBC033381613466E8846206FA4352F",0
"34-419a2442b693457dbcc89d9d78fc091e",0
"34-93a0ece9a8394719b19e5c06bf5e7c7b",1
"34-7f5d581a2a194773aea7577ef6f625f6",1
"34-8b9b68a2d3e44de18e0eec28de205292",0
"34-a78916f4ca8646e2be63f7d10036537d",0
"34-83f57fc553be4722abfd51fc459a6a77",0
"34-b45e5bbfa0884fca8d27d48a3beae36a",0
"34-4998750d42854d979edf27f506c91491",0
"34-6ff5d46bc05d40d9bb610c7f864dfabb",0
"10-B31DFB2E4C179C51AB061E28EA1489D0",0
"164-256981123172727995",0
"34-5e37472a10c448c7848388189822d1c8",1
"140-A36424ED53CE45FA528CDE470734B925",0
"152-AB3DBF6B3872F0B5D679793EB9D9C4CF",0
"10-9E55ADE5BCB0CA27453DE245988C2A3F",0
"9-D3C0F0F645EA87E41275875B246BBAFE",0
"9-B6A5ECE600354287F6BACA715F3C03DB",0
"34-ebd28543ba9748fba8515ad25e4f1848",0
"140-2513EBE9ECDF355FE4C00608BD5E2604",0
"9-DC8752A44F7BA819035C63D425AD17C6",0
"9-A69E7A48AA85E4B98CB3EA7B2CB72E44",0
"105-A62D263F3056AA9636B89EA62B9F9AE8",0
"34-c0126f0c38394202928affccdaa13e68",0
"10-0F3A0A4202C54A47716493192208865C",0
"10-CC4F0DFE589BCFE998A95E761E8F8134",0
"140-5BF4306468600E7151699CC406D4F27C",0
"34-a479497041474440ad3f2343a413683d",0
"9-682C16864D11662A36A3D05D3B9394C7",0
"140-C4451386A14F3B7631F5A3CC0B02CC93",0
"10-13A37AF234DE7F59C18DA2F56D4A5C23",0
"34-ba795ea0cfd64876b2e228871b083d1f",0
"140-388A420D117FCCA41D269C57200ED96F",0
"140-D795A497424FA140EB4E0791AE34C3C2",0
"140-F4016E0E5145C13F6E9257E97DB52EE1",0
"10-38133F4C94B2E2B698A2A82143358E0A",0
"34-2b9aca96eb894a288d68ecf66cfbcb4a",1
"34-ac060096fa8c4e36ab1b50597a4e0e4a",0
"140-6A7DE365159FE35299480D85FED04AD2",0
"105-9EC868303DECD2700006614DFD4A3406",0
"10-19768FF49F4C7AEC4194472F5C7A636A",0
"9-A4AB3F76E4F0CAF6669691BD6449909B",0
"34-7170731677154924a8b513f318e9c1b9",0
"34-5feae7071cd44d24b0dd06ee5265369a",0
"34-bd7c3635f0de448ea20ba54b98a7bc6e",0
"140-7900CA9FAE82C8ED6EFA28D9DA7E0676",0
"34-7aa43e8fbcf746ebbeb92e8f0f8a08d7",0
"9-C28F92782E4BC044139DDF9066986D4A",0
"34-59321fa04bf6456ca1174e890c6a79ca",1
"34-26af6bddfa7d413a85bed6a0065ec3b6",0
"34-081e25a3f91b445ebb3ce43fd5f7a327",0
"9-625656EA310C926BF883746579DD7636",0
"10-DD54E3709C2F4C9B407C33C35F74828B",0
"105-C52A1D9F37AF016975E210F2FDDDAB4D",0
"9-3AE7CAD6FC6C4D3B8D5CB3781CF31549",0
"10-C2271704648466EB805B50DFA8AD28F4",0
"10-A34881D917CCC90292FBFF84C813CD2E",0
"9-6A1D3ED578FE1C3C6355793DD43B1EBD",0
"34-dd899a1288494126a13f389f327c8de3",1
"10-AE5F72393A52416B3474E76866B7AA01",0
"34-8c11c9be5a954e2dba6e364f56676aa1",0
"34-163552258530423eadd2e154c09571ba",1
"34-045343fe85364dc9aa539d588dd9fbca",0
"34-f02e0859b17c49e885ebbefea51cfcba",1
"34-256c0547832d473e8df4cfff95e46dfe",0
"10-21D3A0FC7C798C078A1C6A8EE29D0946",0
"34-426f091fb98e470685716fe66d0220f6",0
"34-5556c89634214e9c9d69559c01a6479a",1
"10-70A62AC771DE07EA08A4BB0EC0915976",0
"9-40995B302B1156AE0FFCC2F539F8CAA0",0
"34-6127dfada1114ca683f37f781b94aa33",1
"34-5890daa23ce64358b5840170c762d36c",0
"34-5d94369f12b04ffa942d9960f946a7d5",1
"10-60780C399DF73ACCBACE717AA52BBACD",0
"140-A8B1B474D66A0DCFC034CC43C4D1B46C",0
"34-23f3adbacafa4c48bba0bd7cdd7717f3",0
"105-3E49424E8BDCCE05A46B48EA44C65664",0
"10-0536F505DA0711B7DA6053C7B63805EA",0
"34-b2bbdf2755d24897b6151e9bd0c1da27",0
"34-758b4681a5b24da3bd985651ead3d706",0
"140-D4B793B64F7CE2EA9D9D052A36E806EF",0
"34-65c486965a5c4adf8739e65c188425dc",0
"34-a92cf8b7be0f4336a5894e9dae1b86f8",0
"34-3db83613ab124167b605f78170f1add0",1
"34-c807144f6f594933965b2cdefbabed52",0
"140-61CEF5C802B9F77D88F5D50511649563",0
"140-8DDE15D82483ED92664022C0C39CB6D6",0
"34-07f13b986f2a4ac88a4fe2ef8febbb45",1
"34-c8187241d8684caeba673f11aa44b59f",0
"34-3e16041d3f2b4b97987c22205ef211c8",0
"10-A423B9A580D531D57C1270556EE7E232",0
"140-FA8123142513CAD9757D3D2E5C564270",0
"152-6577A03D7A1BE6C8507BC3FC87D509F6",0
"34-a84f0744c64746558286b2521d3bf8a7",0
"34-f39872fd501c48b6bbca1903df121fff",0
"34-51373aae216840c095d41dfd46da109d",0
"140-F99C856416566019E0BD8F5D5F08E652",0
"105-03A2A6EB46053E46FC5DE191A807B6BB",0
"9-275ED25DFD00E2EF4C3BA40068DE4228",0
"140-5684E7880FFC46A031B2787C780ABB16",0
"9-9826E35AF4EB3F3F94A8DFA956DD8E4F",0
"10-344D00EFB9B9BBB1EE00953CEB2E87F4",0
"34-645debcd6587413988ee26a2e2642999",0
"34-8857734d09544ac8ac66b3b9a62fb585",0
"9-67BEDE7EF54D398004CB562B3A1D5FE0",0
"34-204eec7f2a02443d9f62f0c15ab59c00",0
"10-D93DC91DC471D5F7D5E9152E000B0461",0
"10-3517C5FABA92EA3DE8B818B776C8B7BC",0
"140-44988C424CA98D023BF7827ADF4F528A",0
"9-9A948AF1632A5A026951EA262D1FAFF2",0
"152-E9CFBB70768156929885ADB15E08FD45",0
"34-e8381a7ff00a41af8da41b1d85153314",0
"10-38F6359AC64A587CDB621DC527BBFE69",0
"140-6EA8EE1267712BEB9A5745BA935EDD7D",0
"105-4049B3B314E1532CA4246247710DCB2D",0
"140-A2E15619A9B4DBBB58FAAB33C65AD033",0
"9-45C26CC9BCBE60263B6C9F433BC8DE8F",0
"9-C4DCB147F6CDA453C3EA80C48F4477C5",0
"9-2E03252AC1BB6620F2121F71127D79F3",0
"140-C5592E2664D76D913625C99C6C460C3E",0
"10-F5A636B6F806B9CFBD5540FDF0AA6B7E",0
"34-fe4bae884c074254bb4144451dac90e9",0
"140-B0EDA3E37A0E1FEC1F6F741847E7F003",0
"34-b95e6ea14ce6403f9dfc9006a5a78587",0
"10-E78F0D52933488ACF85056765C4E5722",0
"9-B51E106193BC6493C49580719DD50AEA",0
"34-eb59f133f3284381be3d33f2f415f1cb",1
"140-B46A3C5EF4E271BD301F983AE481013A",0
"34-0bc6808f9bcd4582bb2b4cf0808c62d3",1
"34-9c5ec1e1c5eb4e0b8508284f1a39fe14",0
"10-3CB381621FCC68FB3957D0F21A2FB9AA",0
"34-a403554de338475da8556890bdec601a",0
"34-6ed3cd6f41a547ed8f7fbf687999724c",0
"140-75247CCB37783310E68E3FB99F77AAD9",0
"34-077708bcbc554bc7b0bed5d800f11387",0
"10-94991A6025F23D02ECA150FACCC52B10",0
"34-b62fae2641894ed4a9b5e303306cb4b3",0
"34-fb621a2e60e545bbafefb1b1c7ac2b3a",0
"34-c9a91cd6c6c7419fa9ef29b8b4b5fa64",0
"34-a617e291999745609cf91b775e9107b9",0
"34-75ba491756bb4adb94f7ff546b6ff728",0
"105-8685E141B2E4AC7E9482FD056D6AD213",0
"34-130b8cf5290945deaedf88e04313863a",0
"10-CDDF98342E62708CFE100D54C5074AA9",0
"34-82da98009a5e49e5b74e1464f8b36531",0
"140-7CE9485A64E35F7DCE80B2D8D1F478E9",0
"9-0E7B739924A09C26921732378B6469E8",0
"9-577A7FD84B4FB178EED9247186FEB403",0
"140-E579AEF17CEB55C2FF58F420D5C1C959",0
"34-3b34ee5d9a244ba39164e07532c8a8b1",0
"34-5b490b22e71e4d13bdaf57737ecc2b1a",0
"9-2ED98642C61B0F32608051A20A348570",0
"9-C805C37B214C9024C7A2FA606F0BA579",0
"34-9f21c6043593444fb01f6f1b5d8fa4b2",0
"34-288a2dfa81d8461e83ef33966875f49f",1
"10-3B6E706AB9B52A35C9CB411CB5D141A8",0
"34-9970caf14f3e4e8ea476d2a1317fa079",0
"105-53EB9BEB51452B1A17456F1617C25888",0
"34-7219f7d2c7434f4d96c71dd5465b023b",0
"105-E50C1B68243C1554B94AF87E60F6F491",0
"10-5E1337C30DC0E01E8E1C37E3FF954F1E",0
"9-4350FC57A268C9A209515BB353C1338C",0
"34-c9b38dffe9564e7386e3526866b2d12b",0
"10-EEB55502529C16387659D44CB9464A62",0
"34-4599998282eb4cea85349857376cc2fb",0
"34-ff64d5b920ad41d496d9e19bd3500868",0
"105-13F116B4975C8B553F17AF3D8DF0E559",0
"34-9745c21bc6bb4c2e8bca62853df7f603",0
"9-67A5940F77929984D627D6E1524A348C",0
"9-8E60198F13CBD29CF72AB2523F6BF2D0",0
"34-158be0a16a984cbbb5e58913b3e32423",0
"9-FE3E3DE268FDC9B944931B4475725AA0",0
"9-9C5CB2C1D950CE6F891E37AAB1B35CD5",0
"10-33366089810DD7F170977A276F856B3F",0
"34-10482f41f87241889d52155d1f5095f0",0
"34-dc6c09df4cc44848818effbacd5e0840",1
"9-B9DADA4F6346A6A0A020AE8710370236",0
"34-734f481077234251bef7252a7a0cf415",1
"9-9F3DE231B9796056CC4B78F87408AE72",0
"10-92E7CB2BFC1941DA1075DEC70127D211",0
"34-3dc6532699ce4ac3883730803d1a6946",0
"34-fa4fba0aa3a54defb5a56c8b4faad2bf",0
"10-70C061F0B4B1AF10DEA46977DE7EE370",0
"9-4CC1F871D3E39FCF3D701FB958832B90",0
"34-c971c8eb55604431846fa24cc23bcfd7",1
"34-3582af3fb93644a3903ed822bd167e28",0
"34-32aff3978fc540849ab7b5f8cc82548d",0
"34-1dc51f8a552a4cb0957366c14814dfdb",1
"34-45264eb6cb0e4a339a7047146cd1cc76",0
"34-08a04b704ba9473693c62944a6b4c656",0
"10-AFA1C9A897BF55AEF50ABD51A16090D7",0
"34-d443e3848bdc476d8e055f8ee3e59f29",0
"34-4eb66feabf12465fb9e4734a48270f39",0
"34-bedcbd8d64724c57bbffa5b6a9eefa39",0
"34-246b4696a2e74edabcce045758bcd912",0
"34-6241cb0b0fcf4ead8c76a9f8bffffba3",0
"34-32f4dcc4b97c407abba13882eba56294",0
"34-315c10ec36ce4e58b3e6480b99dd68e8",1
"9-C267B1529380F6BC350FDDEBA9A8D1B2",0
"10-842425501A10CC0F437451C15C4678F4",0
"34-db55de787d7b46ae8c99bec5b1d9dcab",0
"34-dbd0bdba5d7b47bda84cb2d5debfa6fe",1
"10-F8FBC8D696C1D0E51912D350E4D305DA",0
"34-84f0ebbbfecb4071b6459180f5f87136",0
"34-23ae4a60f8124b4fa6da11d4f3c81d1e",0
"34-8ed4cd0462c148cbac031f2a9da9c6f5",0
"34-e0fb4672f6744a8ba464d6447276aff4",0
"34-6bb9934ca5764696b8e01871692ae498",0
"34-8c8d114443df4641bfaae5652b71722e",0
"140-73989F0A483CD9977BC5AE34F6B33D38",0
"10-4F8E0BE3CF0FB4CBCAB1688CBD5CF237",0
"10-73C3A3D5A7E060FA702BBD24F6E2D9D4",0
"34-dab6f17890194c7e87f980a81ca58580",0
"34-2f555af5a3704bc5905f096c20db4f78",0
"34-a24b59294f7d410eb953af830d0c6d64",1
"34-22a21426228d4166a1d533953cbcc6d0",0
"34-1d08521999b443318faf88f948e6138e",1
"34-b0fe06f2b5f84501b6a2e01d334305c8",0
"34-2981a064b8ea46ce8388e87ea3ccc5b2",1
"34-5457d50dba0045799304e1d5517cdc37",1
"10-62BB5AB17FFF9B22CABE1B0D4A59075F",0
"9-DD76A674065E8B37F8613E330C5BC7BE",0
"34-4184f6cfaea44d25b58370b00f14210b",0
"140-4716CB1976B70ECBB26D57D392F609C7",0
"34-065de01bd05f4d1ab7d264d536675d91",0
"34-0d150da2f666430697022b5d8a7e78f1",0
"34-6eff8d6f58b946128412bb9deac9a16b",0
"34-f869bcc0e4d64072a795cdf055facd43",0
"34-ea53e628e3294f66b1b9d76886f6dbe6",0
"34-0a61835b1cc04350ba8340ebd55b4ded",0
"34-ebcbbb6a3f14483c8ca1bc5ce650841d",0
"34-e77808b0cf674e17add504d877d02c27",0
"34-64493991e692480992fdff0a92a7e74d",0
"34-96da00bb078b42d78bae11012159e680",0
"10-E012564275015B94A4BD052112F12C85",0
"34-87b5f358a7f84aae9ff714d3031f0673",0
"34-5680003fa57c47908454744672dd85cb",1
"34-24ae7d0d8b1247e98dbda7708211a6e2",1
"10-63FB221ACF95FB77F0965642C965910D",0
"10-AC4996CD426C8B1EADBA18AD269102AF",0
"10-20C320E411325A39490926DC7DF3DC6C",0
"140-B065AE38ADBCAE2985A08B1263AE6DC6",0
"34-75eaf3f4046b4bafb1edf5802069f78a",1
"34-1c6b5af9d8714fc5b843529be0fea201",0
"10-40A0EECE6F7151EB3922991790499726",0
